Train Loss: tensor(3.7668, device='cuda:0')
Train Loss: tensor(3.6356, device='cuda:0')
Train Loss: tensor(4.0288, device='cuda:0')
Train Loss: tensor(4.2502, device='cuda:0')
Train Loss: tensor(3.5652, device='cuda:0')
Train Loss: tensor(4.1268, device='cuda:0')
Train Loss: tensor(3.4589, device='cuda:0')
Train Loss: tensor(3.7786, device='cuda:0')
Train Loss: tensor(3.6207, device='cuda:0')
Train Loss: tensor(3.7932, device='cuda:0')
Train Loss: tensor(3.5106, device='cuda:0')
Train Loss: tensor(3.5862, device='cuda:0')
Train Loss: tensor(3.4777, device='cuda:0')
Train Loss: tensor(3.4637, device='cuda:0')
Train Loss: tensor(3.8675, device='cuda:0')
Train Loss: tensor(2.9307, device='cuda:0')
Train Loss: tensor(3.7021, device='cuda:0')
Train Loss: tensor(3.8398, device='cuda:0')
Train Loss: tensor(4.6336, device='cuda:0')
Train Loss: tensor(4.3255, device='cuda:0')
Train Loss: tensor(3.5035, device='cuda:0')
Train Loss: tensor(4.5150, device='cuda:0')
Train Loss: tensor(3.8749, device='cuda:0')
Train Loss: tensor(4.0569, device='cuda:0')
Train Loss: tensor(3.4334, device='cuda:0')
Train Loss: tensor(3.6614, device='cuda:0')
Train Loss: tensor(3.4859, device='cuda:0')
Train Loss: tensor(4.0735, device='cuda:0')
Train Loss: tensor(4.0565, device='cuda:0')
Train Loss: tensor(3.3654, device='cuda:0')
Train Loss: tensor(4.3257, device='cuda:0')
Train Loss: tensor(3.9939, device='cuda:0')
Train Loss: tensor(3.3624, device='cuda:0')
Train Loss: tensor(2.8657, device='cuda:0')
Train Loss: tensor(3.0937, device='cuda:0')
Train Loss: tensor(2.7682, device='cuda:0')
train Loss: 3.7127 Prec: 0.5752EPOCH complete in 25m 9sval Loss: 6.2755 Prec: 0.2781EPOCH complete in 26m 0sEpoch 6/19----------Train Loss: tensor(2.6673, device='cuda:0')
Train Loss: tensor(3.0340, device='cuda:0')
Train Loss: tensor(4.1358, device='cuda:0')
Train Loss: tensor(3.1459, device='cuda:0')
Train Loss: tensor(3.1896, device='cuda:0')
Train Loss: tensor(3.6278, device='cuda:0')
Train Loss: tensor(3.7919, device='cuda:0')
Train Loss: tensor(3.7853, device='cuda:0')
Train Loss: tensor(3.6344, device='cuda:0')
Train Loss: tensor(3.7690, device='cuda:0')
Train Loss: tensor(3.4830, device='cuda:0')
Train Loss: tensor(4.0609, device='cuda:0')
Train Loss: tensor(4.1858, device='cuda:0')
Train Loss: tensor(4.0490, device='cuda:0')
Train Loss: tensor(3.6326, device='cuda:0')
Train Loss: tensor(4.1825, device='cuda:0')
Train Loss: tensor(3.8716, device='cuda:0')
Train Loss: tensor(3.7586, device='cuda:0')
Train Loss: tensor(3.7616, device='cuda:0')
Train Loss: tensor(3.7739, device='cuda:0')
Train Loss: tensor(4.0742, device='cuda:0')
Train Loss: tensor(3.4707, device='cuda:0')
Train Loss: tensor(4.0938, device='cuda:0')
Train Loss: tensor(3.4346, device='cuda:0')
Train Loss: tensor(3.6393, device='cuda:0')
Train Loss: tensor(3.6114, device='cuda:0')
Train Loss: tensor(3.7696, device='cuda:0')
Train Loss: tensor(3.3874, device='cuda:0')
Train Loss: tensor(3.4841, device='cuda:0')
Train Loss: tensor(3.2481, device='cuda:0')
Train Loss: tensor(3.2409, device='cuda:0')
Train Loss: tensor(3.6196, device='cuda:0')
Train Loss: tensor(2.9211, device='cuda:0')
Train Loss: tensor(3.4536, device='cuda:0')
Train Loss: tensor(3.9714, device='cuda:0')
Train Loss: tensor(4.4690, device='cuda:0')
Train Loss: tensor(4.2044, device='cuda:0')
Train Loss: tensor(3.4127, device='cuda:0')
Train Loss: tensor(4.0987, device='cuda:0')
Train Loss: tensor(3.6674, device='cuda:0')
Train Loss: tensor(3.9158, device='cuda:0')
Train Loss: tensor(3.2299, device='cuda:0')
Train Loss: tensor(3.4904, device='cuda:0')
